id,subject_code,name,college,branch,year,description
1,CS400,Foundations of cryptography,NITG,CSE,FOURTH,NULL
2,CS401,Introduction to Machine Learning ,NITG,CSE,FOURTH,NULL
3,HS400,Management,NITG,CSE,FOURTH,NULL
4,CS402,Seminar,NITG,CSE,FOURTH,NULL
5,CS403,Security Laboratory ,NITG,CSE,FOURTH,NULL
6,CS449,Major Project-I,NITG,CSE,FOURTH,NULL
7,CS499,Major Project – II,NITG,CSE,FOURTH,NULL
